
---------- Begin Simulation Statistics ----------
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 2183     23.18%     86.60% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1262     13.40%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                   9418                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                         180                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.019112                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                      20     11.11%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     11.11% # attempts to use FU when none available
