threshold,fpr,tpr
0.00552189,0.0346566,0.263923
0.0054992,0.0352867,0.263923
0.00547567,0.0352867,0.266344
0.00545235,0.0359168,0.266344
0.00543533,0.0365469,0.266344
0.00540265,0.0365469,0.268765
0.00539444,0.0371771,0.268765
0.00539227,0.0378072,0.268765
0.00535836,0.0378072,0.271186
0.00533067,0.0378072,0.273608
0.00531959,0.0378072,0.276029
0.00530674,0.0384373,0.276029
0.00522749,0.0390674,0.276029
0.0052254,0.0390674,0.27845
0.00519741,0.0396975,0.27845
0.00519027,0.0396975,0.280872
0.00518984,0.0396975,0.283293
0.00518801,0.0403277,0.283293
0.00517842,0.0403277,0.285714
0.00515767,0.0403277,0.288136
0.00510309,0.0409578,0.288136
0.00505733,0.0415879,0.288136
0.00502566,0.042218,0.288136
0.00501652,0.0428481,0.288136
0.00500478,0.0434783,0.288136
0.00498147,0.0441084,0.288136
0.0049516,0.0447385,0.288136
0.00494375,0.0453686,0.288136
0.0049352,0.0459987,0.288136
0.00491943,0.0459987,0.290557
0.00491112,0.0466289,0.290557
0.00489594,0.0466289,0.292978
0.00488224,0.0466289,0.2954
0.00487757,0.047259,0.2954
0.00486955,0.0478891,0.2954
0.00485842,0.0485192,0.2954
0.00485606,0.0485192,0.297821
0.004848,0.0485192,0.300242
0.00482913,0.0485192,0.302663
0.00482705,0.0491493,0.302663
0.0048077,0.0497795,0.302663
0.00480476,0.0497795,0.305085
0.00479462,0.0497795,0.307506
0.00478808,0.0497795,0.309927
0.00478507,0.0504096,0.309927
0.00475421,0.0504096,0.312349
0.00467297,0.0510397,0.312349
0.00465601,0.0510397,0.31477
0.00465,0.0516698,0.31477
0.00458172,0.0516698,0.317191
0.00457188,0.0522999,0.317191
0.00455981,0.0522999,0.319613
0.00452953,0.0529301,0.319613
0.00452339,0.0535602,0.319613
0.00450131,0.0541903,0.319613
0.00448136,0.0548204,0.319613
0.00448135,0.0548204,0.322034
0.00446254,0.0554505,0.322034
0.0044593,0.0554505,0.324455
0.00445407,0.0560807,0.324455
0.00444689,0.0560807,0.326877
0.00444116,0.0560807,0.329298
0.00442132,0.0567108,0.329298
0.00437706,0.0573409,0.329298
0.00435934,0.0573409,0.331719
0.0043303,0.0573409,0.33414
0.00430554,0.0573409,0.336562
0.00429607,0.0573409,0.338983
0.00429518,0.057971,0.338983
0.00429039,0.0586011,0.338983
0.00427155,0.0592313,0.338983
0.00426719,0.0598614,0.338983
0.004259,0.0604915,0.338983
0.00424493,0.0604915,0.341404
0.00424192,0.0611216,0.341404
0.00424185,0.0617517,0.341404
0.00423136,0.0623819,0.341404
0.0042248,0.063012,0.341404
0.00418548,0.063012,0.343826
0.00417847,0.0636421,0.343826
0.00415814,0.0642722,0.343826
0.00414029,0.0649023,0.343826
0.00412718,0.0655325,0.343826
0.00410833,0.0661626,0.343826
0.00410659,0.0667927,0.343826
0.00409574,0.0674228,0.343826
0.00407836,0.0674228,0.346247
0.00407,0.0674228,0.348668
0.00406585,0.0674228,0.35109
0.00406307,0.0680529,0.35109
0.00406251,0.068683,0.35109
0.00405728,0.068683,0.353511
0.00404809,0.0693132,0.353511
0.00403512,0.0699433,0.353511
0.00402948,0.0705734,0.353511
0.00402243,0.0705734,0.355932
0.00400491,0.0712035,0.355932
0.00397295,0.0718336,0.355932
0.00395889,0.0724638,0.355932
0.00390714,0.0730939,0.355932
0.0038844,0.0730939,0.358354
0.00388349,0.0730939,0.360775
0.00387309,0.073724,0.360775
0.00387133,0.073724,0.363196
0.00387001,0.0743541,0.363196
0.00386975,0.0749842,0.363196
0.00386014,0.0756144,0.363196
0.00385647,0.0762445,0.363196
0.00384662,0.0768746,0.363196
0.00383009,0.0775047,0.363196
0.00382757,0.0775047,0.365617
0.00380927,0.0775047,0.368039
0.0038052,0.0775047,0.37046
0.00379607,0.0775047,0.372881
0.00378893,0.0781348,0.372881
0.00377344,0.078765,0.372881
0.0037642,0.0793951,0.372881
0.00376113,0.0793951,0.375303
0.00374963,0.0800252,0.375303
0.00374815,0.0806553,0.375303
0.0037429,0.0812854,0.375303
0.00373339,0.0812854,0.377724
0.00372582,0.0819156,0.377724
0.00372062,0.0819156,0.380145
0.00371752,0.0825457,0.380145
0.0037085,0.0825457,0.382567
0.00370788,0.0831758,0.382567
0.00368271,0.0838059,0.382567
0.00367834,0.084436,0.382567
0.00367685,0.0850662,0.382567
0.00367366,0.0856963,0.382567
0.00366392,0.0863264,0.382567
0.0036557,0.0869565,0.382567
0.00365187,0.0875866,0.382567
0.00363962,0.0882168,0.382567
0.00363608,0.0888469,0.382567
0.00361097,0.0888469,0.384988
0.00360044,0.0888469,0.387409
0.00359769,0.0888469,0.389831
0.00358974,0.0888469,0.392252
0.00358347,0.089477,0.392252
0.00356978,0.089477,0.394673
0.00355754,0.089477,0.397094
0.00354395,0.089477,0.399516
0.00353177,0.0901071,0.399516
0.00352169,0.0907372,0.399516
0.00351308,0.0913674,0.399516
0.00351255,0.0919975,0.399516
0.00351242,0.0926276,0.399516
0.00350079,0.0926276,0.401937
0.00349944,0.0932577,0.401937
0.00349403,0.0938878,0.401937
0.00348915,0.094518,0.401937
0.00348621,0.094518,0.404358
0.00347415,0.094518,0.40678
0.00346967,0.094518,0.409201
0.00345785,0.0951481,0.409201
0.00345311,0.0957782,0.409201
0.00344997,0.0964083,0.409201
0.00344965,0.0964083,0.411622
0.00344939,0.0970384,0.411622
0.00343549,0.0976686,0.411622
0.00341349,0.0982987,0.411622
0.00341318,0.0989288,0.411622
0.00339451,0.0995589,0.411622
0.00339061,0.100189,0.411622
0.00339033,0.100819,0.411622
0.00337546,0.101449,0.411622
0.00337395,0.102079,0.411622
0.00336586,0.10271,0.411622
0.003343,0.10334,0.411622
0.00333349,0.10334,0.414044
0.00330732,0.10397,0.414044
0.00330606,0.1046,0.414044
0.00329895,0.10523,0.414044
0.00327999,0.10523,0.416465
0.00327979,0.10586,0.416465
