threshold,fpr,tpr
0.173538,0.0447385,0.249395
0.173478,0.0447385,0.251816
0.173138,0.0453686,0.251816
0.172275,0.0453686,0.254237
0.17185,0.0459987,0.254237
0.171767,0.0459987,0.256659
0.17138,0.0459987,0.25908
0.171321,0.0459987,0.261501
0.170675,0.0466289,0.261501
0.169891,0.047259,0.261501
0.169614,0.047259,0.263923
0.169523,0.047259,0.266344
0.168503,0.0478891,0.266344
0.168193,0.0485192,0.266344
0.167426,0.0485192,0.268765
0.166628,0.0485192,0.271186
0.166403,0.0491493,0.271186
0.166164,0.0497795,0.271186
0.164551,0.0497795,0.273608
0.163974,0.0497795,0.276029
0.163443,0.0497795,0.27845
0.163131,0.0497795,0.280872
0.163129,0.0497795,0.283293
0.162901,0.0504096,0.283293
0.161903,0.0504096,0.285714
0.161795,0.0504096,0.288136
0.161214,0.0510397,0.288136
0.161068,0.0516698,0.288136
0.16043,0.0516698,0.290557
0.160292,0.0516698,0.292978
0.15934,0.0516698,0.2954
0.158942,0.0516698,0.297821
0.158422,0.0516698,0.300242
0.158338,0.0522999,0.300242
0.158005,0.0522999,0.302663
0.157792,0.0522999,0.305085
0.157143,0.0529301,0.305085
0.157119,0.0535602,0.305085
0.157107,0.0541903,0.305085
0.156651,0.0541903,0.307506
0.156482,0.0548204,0.307506
0.156458,0.0548204,0.309927
0.156401,0.0554505,0.309927
0.156272,0.0560807,0.309927
0.1561,0.0560807,0.312349
0.156052,0.0567108,0.312349
0.155967,0.0573409,0.312349
0.155897,0.057971,0.312349
0.155566,0.0586011,0.312349
0.155485,0.0586011,0.31477
0.155329,0.0592313,0.31477
0.155151,0.0592313,0.317191
0.154047,0.0598614,0.317191
0.153988,0.0604915,0.317191
0.153016,0.0604915,0.319613
0.153011,0.0604915,0.322034
0.1525,0.0604915,0.324455
0.152172,0.0604915,0.326877
0.15107,0.0611216,0.326877
0.151008,0.0617517,0.326877
0.150366,0.0623819,0.326877
0.150297,0.0623819,0.329298
0.150052,0.063012,0.329298
0.149907,0.0636421,0.329298
0.148854,0.0642722,0.329298
0.147246,0.0649023,0.329298
0.14698,0.0655325,0.329298
0.146596,0.0655325,0.331719
0.146316,0.0655325,0.33414
0.145298,0.0661626,0.33414
0.144853,0.0661626,0.336562
0.143332,0.0667927,0.336562
0.143131,0.0674228,0.336562
0.142231,0.0680529,0.336562
0.141622,0.0680529,0.338983
0.140871,0.0680529,0.341404
0.139791,0.068683,0.341404
0.139476,0.0693132,0.341404
0.137414,0.0699433,0.341404
0.137271,0.0699433,0.343826
0.135084,0.0705734,0.343826
0.134386,0.0705734,0.346247
0.13287,0.0705734,0.348668
0.132603,0.0712035,0.348668
0.132437,0.0712035,0.35109
0.131514,0.0718336,0.35109
0.131403,0.0724638,0.35109
0.13127,0.0724638,0.353511
0.130181,0.0724638,0.355932
0.129684,0.0724638,0.358354
0.129531,0.0724638,0.360775
0.129465,0.0730939,0.360775
0.129223,0.0730939,0.363196
0.128989,0.0730939,0.365617
0.127604,0.073724,0.365617
0.127096,0.0743541,0.365617
0.127068,0.0749842,0.365617
0.127052,0.0749842,0.368039
0.126402,0.0756144,0.368039
0.126127,0.0756144,0.37046
0.126043,0.0762445,0.37046
0.125754,0.0768746,0.37046
0.125355,0.0768746,0.372881
0.125324,0.0768746,0.375303
0.125095,0.0768746,0.377724
0.124868,0.0775047,0.377724
0.124501,0.0781348,0.377724
0.124225,0.078765,0.377724
0.124189,0.0793951,0.377724
0.12261,0.0800252,0.377724
0.121854,0.0806553,0.377724
0.121657,0.0812854,0.377724
0.121299,0.0819156,0.377724
0.121221,0.0825457,0.377724
0.12084,0.0825457,0.380145
0.120462,0.0831758,0.380145
0.12032,0.0838059,0.380145
0.119994,0.084436,0.380145
0.119635,0.0850662,0.380145
0.119395,0.0850662,0.382567
0.118455,0.0856963,0.382567
0.117923,0.0856963,0.384988
0.117819,0.0856963,0.387409
0.117689,0.0863264,0.387409
0.117406,0.0869565,0.387409
0.117144,0.0875866,0.387409
0.117102,0.0882168,0.387409
0.116945,0.0888469,0.387409
0.116887,0.0888469,0.389831
0.116819,0.0888469,0.392252
0.116797,0.089477,0.392252
0.115808,0.089477,0.394673
0.115797,0.089477,0.397094
0.115765,0.0901071,0.397094
0.115427,0.0901071,0.399516
0.114928,0.0901071,0.401937
0.11483,0.0901071,0.404358
0.114764,0.0913674,0.404358
0.113948,0.0919975,0.40678
0.113632,0.0926276,0.40678
0.113611,0.0932577,0.40678
0.113585,0.0938878,0.40678
0.113561,0.0938878,0.409201
0.11339,0.094518,0.409201
0.113143,0.094518,0.411622
0.112805,0.0951481,0.411622
0.1127,0.0951481,0.414044
0.112648,0.0957782,0.414044
0.112516,0.0964083,0.414044
0.11245,0.0964083,0.416465
0.112412,0.0964083,0.418886
0.112113,0.0964083,0.421308
0.111821,0.0970384,0.421308
0.111807,0.0970384,0.423729
0.111739,0.0976686,0.423729
0.111638,0.0982987,0.423729
0.111406,0.0989288,0.423729
0.111307,0.0995589,0.423729
